,T a h u n,J u d u l,P e r a n,K e t e r a n g a n
0,1984,Lorong-Lorong Asmara,,
1,1984,Dia Sang Penakluk,,
2,1984,Aduh Genitnya,Herman,
3,1984,Mandi dalam Lumpur,Guntur,
4,1984,Jari-Jari Lentik,,
5,1985,Melacak Primadona,,
6,1985,Sunan Gunung Jati,,
7,1985,Kulihat Cinta di Matanya,,
8,1987,Dendam Membara,,
9,1987,Sama-Sama Enak...,,
10,1988,Ayu dan Ayu,Johan,
11,1989,Sengatan Laba-Laba Merah,,
12,1989,Menerjang Karang Terjal,Rio,
13,1989,Tangisan Tanpa Cinta,,
14,1989,Mustika Sakti,Pendekar Muka Bopeng,
15,1989,Putusnya Jaring Laba-Laba Merah,Senjoyo,
16,1989,Anak-Anak Terminal,,
17,1990,Perangkap di Malam Gelap,,
18,1990,Rahasia Patukan Cobra,,
19,1990,Putri Kembang Dadar,,
20,1990,Tembok Derita,,
21,1991,Menerjang Prahara di Komodo,Paulus,
22,1992,Misteri Wanita Berdarah Dingin,Roy,
23,1996,Amrin Membolos,,
24,2004,Kutunggu di Sudut Semanggi,,
25,2006,d'Girlz Begins,,
26,2007,Lari dari Blora,Pak Camat,
27,2007,Laksamana Keumalahayati,Sultan Ali Riayat Syah,
28,2008,Liar,,
29,2009,Jamila dan Sang Presiden,Kyai Jalaludin,
