,N a m a,C a k u p a n,P e n j e l a s a n
0,"Tumbuhan darat, juga disebut Embryophyta",Plantae sensu strictissimo,"Kelompok ini mencakup lumut hati, lumut tanduk, lumut daun, dan tumbuhan berpembuluh, dan juga tumbuhan fosil yang mirip dengan kelompok yang masih hidup (mis., Metaphyta Whittaker, 1969,[6] Plantae Margulis, 1971[7])."
1,"Tumbuhan hijau, juga disebut Viridiplantae, Viridiphyta atau Chlorobionta",Plantae sensu stricto,"Kelompok ini mencakup alga hijau, dan tumbuhan darat yang muncul dari mereka, termasuk stonewort. Nama yang diberikan ke kelompok-kelompok ini berbeda-beda hingga Juli 2011selulosa di dinding selnya, memiliki klorofil a dan b dan memiliki plastida yang dibatasi oleh hanya dua membran yang mampu menyimpan pati. Ini adalah klad yang menjadi subyek utama dari artikel ini (mis., Plantae Copeland, 1956[8])."
2,"Archaeplastida, Plastida atau Primoplantae",Plantae sensu lato,"Kelompok ini mencakup tumbuhan hijau di atas ditambah Rhodophyta (alga merah) dan Glaucophyta. Klad ini mencakup organisme yang bereon-eon [dua eon, lihat periode di kanan atas halaman] lalu mendapatkan kloroplasnya langsung dengan memakan sianobakteri (mis., Plantae Cavalier-Smith, 1981[9])."
3,Definisi lama tumbuhan,Plantae sensu amplo,"Klasifikasi lama menempatkan alga, fungi atau bakteri yang beragam ke dalam Plantae (mis., Plantae atau Vegetabilia Linnaeus,[10] Plantae Haeckel 1866,[11] Metaphyta Haeckel, 1894,[12] Plantae Whittaker, 1969[6])."
