,b i l a b i a l,a p i k a l,p a l a t a l,v e l a r,g l o t a l
0,p,t,-,k,'
1,b,d,j (dʒ),g,
2,,s,,,h
3,m,n,ny (ɲ),ng (ŋ),
4,w,l (ɻ),y (j),,
5,,r,,,
