,T i t i k   k o d e,T i t i k   k o d e . 1,H u r u f   b e s a r N,H u r u f   k e c i l n
0,Unicode,Unicode,U+004E,U+006E
1,ASCII,Desimal,78,110
2,ASCII,Biner,01001110,01101110
3,EBCDIC,EBCDIC,213,149
