,K a t a,S u m b e r,A r t i   a s a l,A r t i   I l o k a n o
0,arak,Arab,sejenis minuman beralkohol,arak
1,karma,Sanskerta,karma (lihat Buddha),semangat
2,Sanglay,Hokkien,mengantar barang,mengantar/saudagar Cina
3,agbuldos,Inggris,membuldozer,membuldozer
4,kuarta,Spanyol,"cuarta (""quarter"", semacam koin tembaga)",uang
5,kumusta,Spanyol,"Sambutan: ¿Cómo está? (""Apa kabar?"")",apa kabar
