,P e r i n g k a t,P e r i n g k a t,N e g a r a,I P M,I P M
0,PEMBANGUNAN MANUSIA SANGAT TINGGI,PEMBANGUNAN MANUSIA SANGAT TINGGI,PEMBANGUNAN MANUSIA SANGAT TINGGI,PEMBANGUNAN MANUSIA SANGAT TINGGI,PEMBANGUNAN MANUSIA SANGAT TINGGI
1,1,,Norwegia,0.954,0.001
2,2,,Swiss,0.946,0.003
3,3,,Irlandia,0.942,0.003
4,4,,Jerman,0.939,0.001
5,5,(2),Hong Kong,0.939,0.003
6,6,(1),Australia,0.938,0.001
7,6,(1),Islandia,0.938,0.003
8,8,(1),Swedia,0.937,0.001
9,9,,Singapura,0.935,0.001
10,10,,Belanda,0.933,0.001
11,11,,Denmark,0.930,0.001
12,12,,Finlandia,0.925,0.001
13,13,,Kanada,0.922,0.001
14,14,,Selandia Baru,0.921,0.001
15,15,,Britania Raya,0.920,0.001
16,15,,Amerika Serikat,0.920,0.001
17,17,,Belgia,0.919,0.002
18,18,,Liechtenstein,0.917,0.001
19,19,,Jepang,0.915,0.002
20,20,,Austria,0.914,0.002
21,21,,Luksemburg,0.909,0.001
22,22,,Israel,0.906,0.002
23,22,,Korea Selatan,0.906,0.002
24,24,,Slovenia,0.902,0.003
25,25,,Spanyol,0.893,0.002
26,26,,Republik Ceko,0.891,0.003
27,26,,Perancis,0.891,0.001
28,28,,Malta,0.885,0.002
29,29,,Italia,0.883,0.002
30,30,,Estonia,0.882,0.003
31,31,,Siprus,0.873,0.002
32,32,,Yunani,0.872,0.001
33,32,(1),Polandia,0.872,0.004
34,34,,Lithuania,0.869,0.003
35,35,,Uni Emirat Arab,0.866,0.002
36,36,(2),Andorra,0.857,0.005
37,36,,Arab Saudi,0.857,0.001
38,36,(2),Slovakia,0.857,0.003
39,39,,Latvia,0.854,0.004
40,40,,Portugal,0.850,0.002
41,41,,Qatar,0.848,
42,42,,Chili,0.847,0.002
43,43,,Brunei,0.845,0.002
44,43,,Hongaria,0.845,0.004
45,45,,Bahrain,0.838,0.001
46,46,,Kroasia,0.837,0.002
47,47,,Oman,0.834,0.001
48,48,,Argentina,0.830,0.002
49,49,,Rusia,0.824,0.008
50,50,,Belarus,0.817,0.009
51,50,(1),Kazakhstan,0.817,0.017
52,52,(1),Bulgaria,0.816,0.003
53,52,(2),Montenegro,0.816,0.003
54,52,(1),Romania,0.816,0.003
55,55,(1),Palau,0.814,0.003
56,56,(5),Barbados,0.813,
57,57,,Kuwait,0.808,0.001
58,57,(1),Uruguay,0.808,0.001
59,59,,Turki,0.806,0.001
60,60,,Bahama,0.805,0.001
61,61,,Malaysia,0.804,0.002
62,62,,Seychelles,0.801,0.001
63,PEMBANGUNAN MANUSIA TINGGI,PEMBANGUNAN MANUSIA TINGGI,PEMBANGUNAN MANUSIA TINGGI,PEMBANGUNAN MANUSIA TINGGI,PEMBANGUNAN MANUSIA TINGGI
64,63,(2),Serbia,0.799,0.005
65,63,,Trinidad dan Tobago,0.799,
66,65,(2),Iran,0.797,0.002
67,66,,Mauritius,0.796,0.003
68,67,,Panama,0.795,0.002
69,68,,Kosta Rika,0.794,0.002
70,69,,Albania,0.791,0.002
71,70,,Georgia,0.786,0.003
72,71,(1),Sri Lanka,0.780,0.004
73,72,(1),Kuba,0.778,0.001
74,73,(1),Saint Kitts dan Nevis,0.777,0.003
75,74,(1),Antigua dan Barbuda,0.776,0.002
76,75,,Bosnia dan Herzegovina,0.769,0.002
77,76,,Meksiko,0.767,0.002
78,77,,Thailand,0.765,0.003
79,78,,Grenada,0.763,0.003
80,79,(1),Brazil,0.761,0.001
81,79,(1),Kolombia,0.761,0.001
82,81,,Armenia,0.760,0.002
83,82,(1),Aljazair,0.759,0.001
84,82,(1),Makedonia Utara,0.759,0.001
85,82,(3),Peru,0.759,0.003
86,85,(1),Tiongkok,0.758,0.005
87,85,(1),Ekuador,0.758,0.001
88,87,,Azerbaijan,0.754,0.002
89,88,,Ukraina,0.750,0.003
90,89,(1),Republik Dominika,0.745,0.004
91,89,,Saint Lucia,0.745,0.001
92,91,,Tunisia,0.739,0.001
93,92,(2),Mongolia,0.735,0.006
94,—,—,Dunia,0.731,0.002
95,93,,Lebanon,0.730,0.002
96,94,(3),Botswana,0.728,0.004
97,94,(1),Saint Vincent dan Grenadine,0.728,0.002
98,96,,Jamaika,0.726,0.001
99,96,(4),Venezuela,0.726,0.009
100,98,,Dominika,0.724,0.001
101,98,(4),Fiji,0.724,0.003
102,98,(1),Paraguay,0.724,0.002
103,98,(1),Suriname,0.724,0.002
104,102,(3),Yordania,0.723,0.001
105,103,,Belize,0.720,0.001
106,104,(1),Maladewa,0.719,0.003
107,105,(1),Tonga,0.717,
108,106,,Filipina,0.712,0.003
109,107,(1),Moldova,0.711,0.002
110,108,,Turkmenistan,0.710,0.002
111,108,(1),Uzbekistan,0.710,0.003
112,110,(1),Libya,0.708,0.004
113,111,,Indonesia,0.707,0.003
114,111,(1),Samoa,0.707,0.001
115,113,(2),Afrika Selatan,0.705,0.001
116,114,,Bolivia,0.703,0.003
117,115,,Gabon,0.702,0.002
118,116,,Mesir,0.700,0.004
119,PEMBANGUNAN MANUSIA MENENGAH,PEMBANGUNAN MANUSIA MENENGAH,PEMBANGUNAN MANUSIA MENENGAH,PEMBANGUNAN MANUSIA MENENGAH,PEMBANGUNAN MANUSIA MENENGAH
