,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a,D a t a   i k l i m   S i n g a p u r a
0,Rekor tertinggi °C (°F),35.2 (95.4),35.2 (95.4),36.0 (96.8),35.8 (96.4),35.4 (95.7),35.0 (95),34.0 (93.2),34.2 (93.6),34.4 (93.9),34.6 (94.3),34.2 (93.6),33.8 (92.8),36.0 (96.8)
1,Rata-rata tertinggi °C (°F),30.4 (86.7),31.7 (89.1),32.0 (89.6),32.3 (90.1),32.2 (90),32.0 (89.6),31.3 (88.3),31.4 (88.5),31.4 (88.5),31.7 (89.1),31.1 (88),30.2 (86.4),31.5 (88.7)
2,Rata-rata harian °C (°F),26.5 (79.7),27.1 (80.8),27.5 (81.5),28.0 (82.4),28.3 (82.9),28.3 (82.9),27.9 (82.2),27.9 (82.2),27.6 (81.7),27.6 (81.7),27.0 (80.6),26.4 (79.5),27.51 (81.51)
3,Rata-rata terendah °C (°F),23.9 (75),24.3 (75.7),24.6 (76.3),25.0 (77),25.4 (77.7),25.4 (77.7),25.0 (77),25.0 (77),24.8 (76.6),24.7 (76.5),24.3 (75.7),24.0 (75.2),24.7 (76.5)
4,Rekor terendah °C (°F),19.4 (66.9),19.7 (67.5),20.2 (68.4),20.7 (69.3),21.2 (70.2),20.8 (69.4),19.7 (67.5),20.2 (68.4),20.7 (69.3),20.6 (69.1),21.1 (70),20.6 (69.1),19.4 (66.9)
5,Curah hujan mm (inci),234.6 (9.236),112.8 (4.441),170.3 (6.705),154.8 (6.094),171.2 (6.74),130.7 (5.146),154.4 (6.079),148.9 (5.862),156.5 (6.161),154.6 (6.087),258.5 (10.177),318.6 (12.543),"2.165,9 (85,271)"
6,Rata-rata hari hujan,13,8,13,14,14,12,14,14,13,15,18,18,166
7,% kelembapan,84.4,82.0,83.4,84.1,83.5,81.9,82.3,82.2,82.7,83.1,85.7,86.5,83.5
8,Rata-rata sinar matahari bulanan,172.4,183.2,192.7,173.6,179.8,177.7,187.9,180.6,156.2,155.2,129.6,133.5,"2.022,4"
9,Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44],Sumber #1: Agensi Lingkungan Nasional[44]
10,Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45],Sumber #2: NOAA[45]
