,0,1,2
0,Louis XV dari Prancis Dinasti Bourbon,Louis XV dari Prancis Dinasti Bourbon,Louis XV dari Prancis Dinasti Bourbon
1,Jabatan politik,Jabatan politik,Jabatan politik
2,Didahului oleh:Louis XIV,Raja Prancis1715-1774,Diteruskan oleh:Louis XVI
