,M a s a   p e r i o d i k,G i g i   s e r i,G i g i   t a r i n g,G i g i   g e r a h a m,G i g i   b u n g s u,J u m l a h   g i g i ( b u a h )
0,Anak,8,4,8,—,20
1,Dewasa,8,8,16,Ada(hanya igur ganteng a 18–30 tahun),32
