,1 9 8 0   S u m m e r   O l y m p i c s   b i d d i n g   r e s u l t,1 9 8 0   S u m m e r   O l y m p i c s   b i d d i n g   r e s u l t . 1,1 9 8 0   S u m m e r   O l y m p i c s   b i d d i n g   r e s u l t . 2,1 9 8 0   S u m m e r   O l y m p i c s   b i d d i n g   r e s u l t . 3,1 9 8 0   S u m m e r   O l y m p i c s   b i d d i n g   r e s u l t . 4,1 9 8 0   S u m m e r   O l y m p i c s   b i d d i n g   r e s u l t . 5,1 9 8 0   S u m m e r   O l y m p i c s   b i d d i n g   r e s u l t . 6
0,City,Country,Votes,,,,
1,Moskow,Uni Soviet,39,,,,
2,Los Angeles,Amerika Serikat,20,,,,
