,G a m b a r,P e c a h a n,W a r n a   D o m i n a n,D i a m e t e r   ( m m ),K e t e b a l a n   ( m m ),M a s s a   ( g ),K o m p o s i s i
0,,1¢,Perunggu,1625,167,23,Baja berlapis tembaga
1,,2¢,Perunggu,1875,167,306,Baja berlapis tembaga
2,,5¢,Perunggu,2125,167,392,Baja berlapis tembaga
3,,10¢,Emas,1975,193,41,Emas Nordik
4,,20¢,Emas,2225,214,574,Emas Nordik
5,,50¢,Emas,2425,238,78,Emas Nordik
6,,€1,Perak & Emas,2325,233,75,"Bagian luar: kuningan nikel Bagian dalam: Lapisan tembaga-nikel, nikel, tembaga-nikel"
7,,€2,Emas & Perak,2575,22,85,"Bagian luar: tembaga-nikel Bagian dalam: Lapisan kuningan nikel, nikel, kuningan nikel."
