,D a r i   D e l i s l e,K e   D e l i s l e
0,[°C] = 100 − [°De] × ⅔,[°De] = (100 − [°C]) × 3⁄2
1,[°F] = 212 − [°De] × 6⁄5,[°De] = (212 − [°F]) × ⅚
2,"[K] = 373,15 − [°De] × ⅔","[°De] = (373,15 − [K]) × 3⁄2"
3,"[°R] = 671,67 − [°De] × 6⁄5","[°De] = (671,67 − [°R]) × ⅚"
4,"Untuk rumus interval suhu alih-alih suhu tertentu,1 °De = ⅔ °C = 1.2 °FPerbandingan di antara berbagai skala suhu","Untuk rumus interval suhu alih-alih suhu tertentu,1 °De = ⅔ °C = 1.2 °FPerbandingan di antara berbagai skala suhu"
