,C o u n t y   m e t r o p o l i t a n,D i s t r i k   m e t r o p o l i t a n
0,Greater Manchester,"Manchester, Bolton, Bury, Oldham, Rochdale, Salford, Stockport, Tameside, Trafford, Wigan"
1,Merseyside,"Liverpool, Knowsley, Sefton, St Helens, Wirral"
2,South Yorkshire,"Sheffield, Barnsley, Doncaster, Rotherham"
3,Tyne and Wear,"Newcastle upon Tyne, Gateshead, South Tyneside, North Tyneside, Sunderland"
4,West Midlands,"Birmingham, Coventry, Dudley, Sandwell, Solihull, Walsall, Wolverhampton"
5,West Yorkshire,"Leeds, Bradford, Calderdale, Kirklees, Wakefield"
