,N e g a r a   /   W i l a y a h,T i n g k a t   p e n g a n g g u r a n   ( % ),S u m b e r   /   t a n g g a l   i n f o r m a s i
152,Saint Pierre dan Miquelon (Prancis),10.30,1999
153,Saint Vincent dan Grenadines,18.00,2009 (Juni)[27]
154,San Marino,2.80,2004[butuh rujukan]
155,Arab Saudi,>15%,2009 (Juni)[56]
156,Senegal,48.00;[butuh rujukan] 30% dewasa berusia 24 tahun dan di bawah[41]||2007,
157,Serbia,18.80,2007[butuh rujukan]
158,Singapura,3.3,2009 (Juni)[57]
159,Slowakia,12.1,2009 (Juli)[58]
160,Slovenia,8.8,2009 (April)[59]
161,Afrika Selatan,23.5,2009 (April)[60]
162,Korea Selatan,3.9,2009 (Juni)[61]
163,Spanyol,17.9,2009 (Juni)[62]
164,Sri Lanka,5.20;[63] 18.3% among youth[64],2009 (Juni)
165,Sudan,18.70,2002
166,Suriname,9.50,2004
167,Swaziland,40.00,2009 (Juni)[65]
168,Swedia,9.0,2009 (Juli)[66]
169,Swiss,3.6,2009 (June)[67]
170,Suriah,9.00,2008
171,Taiwan (Republik Tiongkok),5.82,2009 (Mei)[68]
172,Tajikistan,60.00%; 80-90% pemuda,2008 (Agustus)[69]
173,Thailand,2.1,2009 (April)[70]
174,Bahama,7.60,2006
175,Tonga,13.00,2003/2004
176,Trinidad dan Tobago,3.90,2008[27]
177,Tunisia,14.00,2008
178,Turki,14.9,2009 (Mei)[71]
179,Turkmenistan,70.00,2008 (November)[72]
180,Kepulauan Turks dan Caicos (Britania Raya),10.00,perk. 1997
181,Ukraina,2.2,2009 (Juli)[73]
182,Uni Emirat Arab,12.7,2008[74]
183,Britania Raya,7.9,2009 (Juli)[75]
184,Amerika Serikat,9.8,2009 (September)[76]
185,Uruguay,7.38,2009 (Januari)[77]
186,Uzbekistan,8.00,2008 (Desember)[78]
187,Vanuatu,1.70,1999[butuh rujukan]
188,Venezuela,7.8,2009 (Juli)[79]
189,Vietnam,4.20,2007[butuh rujukan]
190,Kepulauan Virgin (Amerika Serikat),6.80,2008 (Maret)
191,Wallis dan Futuna (Prancis),15.20,2003
192,Tepi Barat,16.30,2008 (Juni)[butuh rujukan]
193,Yaman,>35.00,2009 (Juni)[80]
194,Zambia,50.00,2000
195,Zimbabwe,90.00,2009 (Juni)[81]
