,0,1
0,1881,160109
1,1891,177523
2,1901,177920
3,1911,259394
4,1921,269665
5,1931,482809
6,1941,perang #
7,1951,505219
8,1961,510676
9,# sensus ditiadakan karena perang,# sensus ditiadakan karena perang
10,sumber: Sensus Britania Raya[27],sumber: Sensus Britania Raya[27]
