,B a h a s a   S a n g g a u,B a h a s a   M e l a y u   S a r a w a k,B a h a s a   I n d o n e s i a
0,Kula,Kola,Saya
1,Nya,Nya,Dia
2,Molah,Molah,Membuat
3,Tekasik,Bekasik,Bersin
4,Manok,Manok,Ayam
5,Ucing,Pusak,Kucing
6,Leak,Leak,Jahe
7,Cabik,Cabik,Cabai
8,Abas,Abas,Mengunjungi
9,Kupak,Kupak,Kupas
10,Bulu Mansu,Bulu Mansu,Alis
11,Alah,Alah,Mampu
