,A g a m a,P o p u l a s i
0,Hindu,3.440.290
1,Muslim,926.414
2,Kristen,39.758
3,Jainisme,21.178
4,Sikhisme,13.849
5,Buddha,4.771
6,Lainnya,1.452
7,Tidak tahu,48.982
