,D a r i,H i n g g a,P r e s i d e n,W a k i l   P r e s i d e n,C a l o n P r e s i d e n,S u a r a   P r e s .,C a l o n W a k i l   P r e s .,S u a r a W k . P .
0,16 Maret 1836,22 Oktober 1836,David G. Burnet (interim),Lorenzo de Zavala (interim),,,,
1,22 Oktober 1836,10 Desember 1838,Samuel Houston,Mirabeau B. Lamar,Henry Smith Stephen F. Austin,5119 743 587,Mirabeau B. Lamar,
2,10 Desember 1838,13 Desember 1841,Mirabeau B. Lamar,David G. Burnet,Mirabeau B. Lamar Robert Wilson,6995 252,David G. Burnet,
3,13 Desember 1841,9 Desember 1844,Sam Houston,Edward Burleson,Sam Houston David G. Burnet,7915 3619,Edward Burleson Memucan Hunt,6141 4336
4,9 Desember 1844,29 Desember 1845,Anson Jones,Kenneth L. Anderson,Anson Jones Edward Burleson,__ __,Kenneth L. Anderson,
