,"D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3","D a t a   i k l i m   I s t a n b u l   ( S a r ı y e r ) ,   1 9 5 4 – 2 0 1 3"
0,Rekor tertinggi °C (°F),22.0 (71.6),23.2 (73.8),29.3 (84.7),33.6 (92.5),34.5 (94.1),40.5 (104.9),41.5 (106.7),39.6 (103.3),36.6 (97.9),34.0 (93.2),26.5 (79.7),25.8 (78.4),41.5 (106.7)
1,Rata-rata tertinggi °C (°F),8.5 (47.3),9.0 (48.2),10.8 (51.4),15.4 (59.7),20.0 (68),24.5 (76.1),26.5 (79.7),26.7 (80.1),23.6 (74.5),19.1 (66.4),14.7 (58.5),10.8 (51.4),17.47 (63.44)
2,Rata-rata harian °C (°F),5.6 (42.1),5.7 (42.3),7.0 (44.6),11.1 (52),15.7 (60.3),20.4 (68.7),22.8 (73),23.0 (73.4),19.7 (67.5),15.6 (60.1),11.4 (52.5),8.0 (46.4),13.83 (56.91)
3,Rata-rata terendah °C (°F),3.2 (37.8),3.1 (37.6),4.2 (39.6),7.7 (45.9),12.1 (53.8),16.5 (61.7),19.5 (67.1),20.0 (68),16.8 (62.2),13.0 (55.4),8.9 (48),5.5 (41.9),10.88 (51.58)
4,Rekor terendah °C (°F),−11.0 (12.2),−8.4 (16.9),−5.8 (21.6),−1.4 (29.5),3.0 (37.4),8.5 (47.3),12.0 (53.6),12.3 (54.1),7.1 (44.8),0.6 (33.1),−2.2 (28),−7.0 (19.4),−11 (12.2)
5,Presipitasi mm (inci),105.3 (4.146),77.3 (3.043),71.8 (2.827),44.9 (1.768),34.1 (1.343),34.0 (1.339),31.6 (1.244),39.8 (1.567),57.9 (2.28),87.7 (3.453),101.3 (3.988),122.6 (4.827),808.3 (31.825)
6,Rata-rata hari hujan atau bersalju (≥ 0.1 mm),17.5,15.2,13.8,10.4,8.1,6.0,4.2,4.9,7.3,11.2,13.3,17.3,129.2
7,Rata-rata sinar matahari bulanan,71.3,87.6,133.3,180.0,251.1,300.0,322.4,294.5,243.0,164.3,102.0,68.2,"2.217,7"
8,"Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]","Sumber: Layanan Meteorologi Negara Turki (matahari, 1960–2012)[100][104][107]"
