,P r o t o - J e r m a n i k,J e r m a n   H u l u,S a c h s e n   H i l i r   U t a r a,B e l a n d a,I n g g r i s,J e r m a n   H u l u . 1,F r i s i a   B a r a t,S w e d i a,I s l a n d i a
0,-k-,-ch-,maken,maken,make,machen,meitsje,maka (arkais),
1,k-,k-,"Keerl (Kerl) (""kawan"")",kerel,churl,Kerl *,tsjirl (arkais),karl,karl
2,d-,t-,Dag,dag,day,Tag,dei,dag,dag
3,-t-,-ss-,"eten (ȩten, äten) [Westfalen: iäten]",eten,eat,essen,ite,äta,éta
4,t-,z- (/t͡s/),teihn (tein),tien,ten,zehn,tsien,tio,tíu
5,-tt-,"-tz-, -z- (/t͡s/)",sitten,zitten,sit,sitzen,sitte,sitta,sitja
6,-p,"-f, -ff","Schipp, Schepp, and Schüpp",schip,ship,Schiff,skip,skepp ***,skip
7,p-,pf-,Peper,peper,pepper,Pfeffer,piper,peppar,pipar
8,-β-,-b-,"Wiew, Wiewer; Wief, Wiewer; Wief, Wiever; Wief, Wieber","wijf, wijven **","wife, wives","Weib, Weiber **","wiif, wiven",viv **,víf
