,A n g k a,B a h a s a   S a m o a,B a h a s a   I n d o n e s i a
0,0,"noa, selo",nol
1,1,tasi,satu
2,2,lua,dua
3,3,tolu,tiga
4,4,fa,empat
5,5,lima,lima
6,6,ono,enam
7,7,fitu,tujuh
8,8,valu,delapan
9,9,iva,sembilan
10,10,sefulu,sepuluh
11,11,"sefulu ma le tasi, sefulu tasi",sebelas
12,12,"sefulu ma le lua, sefulu lua",dua belas
13,20,"luafulu, lua sefulu",dua puluh
14,30,"tolugafulu, tolu sefulu",tiga puluh
15,40,"fagafulu, fa sefulu",empat puluh
16,50,"limagafulu, lima sefulu",lima puluh
17,60,"onogafulu, ono sefulu",enam puluh
18,70,"fitugafulu, fitu sefulu",tujuh puluh
19,80,"valugafulu, valu sefulu",delapan puluh
20,90,"ivagafulu, iva sefulu",sembilan puluh
21,100,"selau, lau",seratus
22,200,"lua lau, lua selau",dua ratus
23,300,"tolugalau, tolu selau",tiga ratus
24,1000,afe,seribu
25,2000,lua afe,dua ribu
26,10000,"mano, sefulu afe",sepuluh ribu
27,100000,Selau afe,seratus ribu
28,1000000,miliona,satu juta
