,0,1,2,3
0,Pesawat,Pilot,Kode panggil,Tugas misi
1,Straight Flush,Mayor Claude R. Eatherly,Dimples 85,Pemantauan cuaca (Hiroshima)
2,Jabit III,Mayor John A. Wilson,Dimples 71,Pemantauan cuaca (Kokura)
3,Full House,Mayor Ralph R. Taylor,Dimples 83,Pemantauan cuaca (Nagasaki)
4,Enola Gay,Kolonel Paul W. Tibbets,Dimples 82,Pengiriman senjata
5,The Great Artiste,Mayor Charles W. Sweeney,Dimples 89,Instrumentasi pengukuran ledakan
6,Necessary Evil,Kapten George W. Marquardt,Dimples 91,Pengamatan dan fotografi ledakan
7,Top Secret,Kapten Charles F. McKnight,Dimples 72,Serangan cadangan—tidak menyelesaikan misi
