,W i l a y a h,P r o v i n s i,B a h a s a,K o d e   b a h a s a,K o d e   b a h a s a
0,Kepulauan Bali,Bali,Bali,bl,ban
1,Kepulauan Jawa,Banten,Sunda (Banten)-Jawa (Serang),-,-
2,Kepulauan Jawa,Jakarta,Betawi,jk,bew
3,Kepulauan Jawa,Jawa Barat,Sunda (Priangan),sd,su
4,Kepulauan Jawa,Jawa Tengah,Jawa (Semarang–Surakarta),-,-
5,Kepulauan Jawa,Jawa Timur,Jawa (Surabaya),-,-
6,Kepulauan Jawa,Yogyakarta,Jawa (Yogyakarta),-,-
7,Kepulauan Kalimantan,Kalimantan Barat,Iban,-,iba
8,Kepulauan Kalimantan,Kalimantan Selatan,Banjar,bjr,bjn
9,Kepulauan Kalimantan,Kalimantan Tengah,Ngaju,-,nij
10,Kepulauan Kalimantan,Kalimantan Timur,Paser,-,-
11,Kepulauan Kalimantan,Kalimantan Utara,Tidung,-,tid
12,Kepulauan Kalimantan,Nusantara,Nusantara,-,-
13,Kepulauan Maluku,,,,
14,Kepulauan Maluku,Maluku,Ambon,-,abs
15,Kepulauan Maluku,Maluku Utara,Ternate,tr,tft
16,Kepulauan Nusa Tenggara,,,,
17,Kepulauan Nusa Tenggara,Nusa Tenggara Barat,Sasaq,-,sas
18,Kepulauan Nusa Tenggara,Nusa Tenggara Timur,Uab Meto,-,aoz
19,Kepulauan Papua,,,,
20,Kepulauan Papua,Papua,Papua (Jayapura),jyp,-
21,Kepulauan Papua,Papua Barat,Papua (Barat),-,-
22,Kepulauan Papua,Berkas:Coat of arms of Highlands Papua.svgPapua Pegunungan,La Pago,-,-
23,Kepulauan Papua,Berkas:Coat of arms of Central Papua.svgPapua Tengah,Ekari,ekg,ekg
24,Kepulauan Papua,Berkas:Coat of arms of South Papua.svgPapua Selatan,Anim,-,-
25,Kepulauan Sulawesi,,,,
26,Kepulauan Sulawesi,Gorontalo,Gorontalo,gor,gor
27,Kepulauan Sulawesi,Sulawesi Barat,Mandar,mr,mdr
28,Kepulauan Sulawesi,Sulawesi Selatan,Bugis,bg,bug
29,Kepulauan Sulawesi,Sulawesi Tengah,Kaili,kal,-
30,Kepulauan Sulawesi,Sulawesi Tenggara,Tolaki,tlk,lbw
31,Kepulauan Sulawesi,Sulawesi Utara,Mongondow,-,mog
32,Kepulauan Sumatra,,,,
33,Kepulauan Sumatra,Aceh,Aceh,ach,ace
34,Kepulauan Sumatra,Bengkulu,Bengkulu,-,bke
35,Kepulauan Sumatra,Jambi,Palembang (Jambi),jb,jax
36,Kepulauan Sumatra,Kepulauan Bangka Belitung,Bangka,-,mfb
37,Kepulauan Sumatra,Kepulauan Riau,Melayu (Riau),ri,zlm (zlm-coa)
38,Kepulauan Sumatra,Lampung,Lampung,lp,ljp
39,Kepulauan Sumatra,Riau,Melayu (Riau),ri,zlm (zlm-inl)
40,Kepulauan Sumatra,Sumatra Barat,Minangkabau,mk,min
41,Kepulauan Sumatra,Sumatra Utara,Melayu Deli–Rumpun Batak–Batak (Medan),md,msa-btk
42,Kepulauan Sumatra,Sumatra Selatan,Palembang,plb,plm
