,B a h a s a,1,2,3,4,5,6,7,8,9,1 0
0,PAN,*isa,*DuSa,*telu,*Sepat,*lima,*enem,*pitu,*walu,*Siwa,*puluq
1,Lembak-Musi,satu,due,tige,empat,lime,enam,tuju,delapan,sembilan,sepoloh
2,Serawai,satu,duau,tigau,empat,limau,enam,tujuh,delapan,sembilan,sepuluh
3,Besemah,satu,due,tige,empat,lime,enem,tujuh,delapan,sembilan,sepuluh
4,Melayu Bengkulu-Melayu Palembang,satu,duo,tigo,empek/empat,limo,nam/enem,tuju,(de)lapan,sembilan,sepulu
5,Melayu/Indonesia,satu,dua,tiga,empat,lima,enam,tujuh,lapan/delapan,sembilan,sepuluh
6,Minangkabau,ciek/sikok,duo,tigo,ampek,limo,anam,tujuah,salapan,sambilan,sapuluah
7,Rejang[28],do,duai,tlau (tlêu),pat,lêmo,num,tujuak (tojoak; tojoah),dêlapên,sêmbilan,sêpuluak (sêpoloak; sêpoloah)
