,K e l a s   ( D P )   *,S u b k e l o m p o k,K o m p o n e n
0,Gula (1–2),Monosakarida,"Glukosa, galaktosa, fruktosa, xilosa"
1,Gula (1–2),Disakarida,"Sukrosa, laktosa, maltosa, isomaltulosa, trehalosa"
2,Gula (1–2),Poliol,"Sorbitol, manitol"
3,Oligosakarida (3–9),Malto-oligosakarida,Maltodekstrin
4,Oligosakarida (3–9),Oligosakarida lainnya,"Rafinosa, stakiosa, frukto-oligosakarida"
5,Polisakarida (>9),Pati,"Amilosa, amilopektin, pati termodifikasi"
6,Polisakarida (>9),Polisakarida nonpati,"Glikogen, selulosa, hemiselulosa, pektin, hidrokoloid"
7,* DP = Derajat polimerisasi,* DP = Derajat polimerisasi,* DP = Derajat polimerisasi
