,R e g i o n,I b u   k o t a,P o p u l a s i   ( S e n s u s   2 0 1 4 )
0,Region Conakry,Conakry,1675069
1,Region Nzérékoré,Nzérékoré,1591716
2,Region Kindia,Kindia,1573690
3,Region Boké,Boké,1092291
4,Region Labé,Labé,1001392
5,Region Mamou,Mamou,737062
6,Region Kankan,Kankan,1979038
7,Region Faranah,Faranah,949589
