,0,1
0,Utara,"Negara Bagian Oklahoma, Negara Bagian Arkansas"
1,Timur,Negara Bagian Arkansas dan Negara Bagian Louisiana
2,Selatan,Negara Meksiko
3,Barat,Negara Bagian New Mexico
