,W i l a y a h   b e r p e n g h u n i,P e m e r i n t a h a n
0,Guam,
1,Kepulauan Mariana Utara,
2,Puerto Riko,
3,Samoa Amerika,
4,Kepulauan Virgin Amerika Serikat,
5,Wilayah tidak berpenghuni,Pemerintahan
6,Tepi Bajo Nuevo,
7,Pulau Baker,
8,Pulau Howland,
9,Pulau Jarvis,
10,Atol Johnston,
11,Karang Kingman,
12,Atol Midway,
13,Pulau Navassa,
14,Atol Palmyra,
15,Tepi Serranilla,
16,Pulau Wake,
