,J a b a t a n   o l a h r a g a,J a b a t a n   o l a h r a g a . 1,J a b a t a n   o l a h r a g a . 2
0,Didahului oleh:Marc Gené,JuaraEuro Open Movistar by Nissan1999,Diteruskan oleh:Antonio García
1,Didahului oleh:Régis LaconiYvan MullerGilles Panizzi,Race of ChampionsKejuaraan Antar Negara2001 bersama:Jesús PurasRubén Xaus,Diteruskan oleh:Colin EdwardsJeff GordonJimmie Johnson
2,Didahului oleh:Michael Schumacher 2000-2004,Juara Dunia PembalapFormula Satu2005-2006,Diteruskan oleh:Kimi Räikkönen 2007
