,K a w a s a n   S r i w i j a y a   d a l a m   p r a s a s t i   T a n j o r e,K a w a s a n   S r i w i j a y a   d a l a m   p r a s a s t i   T a n j o r e
0,Pannai,Pannai
1,Malaiyur,Malayu
2,Mayirudingam,
3,Ilangasokam,Langkasuka
4,Mapappalam,
5,Mevilimbangam,
6,Valaippanduru,
7,Talaittakkolam,
8,Madamalingam,Tambralingga
9,Ilamuridesam,Lamuri
10,Manakkavaram,Nikobar
11,Kadaram,Kedah
