,A w a l a n,A w a l a n,B a s i s   1 0 0 0,B a s i s   1 0,D e s i m a l,S e b u t a n,S e b u t a n,A d o p s i [ n b   1 ]
0,yota,Y,10008,1024,1.000.000.000.000.000.000.000.000,septiliun,kuadriliun,1991
1,zeta,Z,10007,1021,1.000.000.000.000.000.000.000,sekstiliun,triliar,1991
2,eksa,E,10006,1018,1.000.000.000.000.000.000,kuintiliun,triliun,1975
3,peta,P,10005,1015,1.000.000.000.000.000,kuadriliun,biliar,1975
4,tera,T,10004,1012,1.000.000.000.000,triliun,biliun,1960
5,giga,G,10003,109,1.000.000.000,biliun,miliar,1960
6,mega,M,10002,106,1.000.000,juta,juta,1873
7,kilo,k,10001,103,1.000,ribu,ribu,1795
8,hekto,h,10002/3,102,100,ratus,ratus,1795
9,deka,da,10001/3,101,10,puluh,puluh,1795
10,,,10000,100,1,satu,satu,–
11,desi,d,1000−1/3,10−1,01,sepersepuluh,sepersepuluh,1795
12,senti,c,1000−2/3,10−2,001,seperseratus,seperseratus,1795
13,mili,m,1000−1,10−3,0001,seperseribu,seperseribu,1795
14,mikro,µ,1000−2,10−6,0000001,sepersejuta,sepersejuta,1873
15,nano,n,1000−3,10−9,0000000001,sepersebiliun,sepersemiliar,1960
16,piko,p,1000−4,10−12,0000000000001,sepersetriliun,sepersebiliun,1960
17,femto,f,1000−5,10−15,0000000000000001,sepersekuadriliun,sepersebiliar,1964
18,ato,a,1000−6,10−18,0000000000000000001,sepersekuintiliun,sepersetriliun,1964
19,zepto,z,1000−7,10−21,0000000000000000000001,sepersesekstiliun,sepersetriliar,1991
20,yokto,y,1000−8,10−24,0000000000000000000000001,seperseseptiliun,sepersekuadriliun,1991
21,^ Awalan yang diadopsi sebelum 1960 sudah ada sebelum SI. Sistem CGS diperkenalkan tahun 1873.,^ Awalan yang diadopsi sebelum 1960 sudah ada sebelum SI. Sistem CGS diperkenalkan tahun 1873.,^ Awalan yang diadopsi sebelum 1960 sudah ada sebelum SI. Sistem CGS diperkenalkan tahun 1873.,^ Awalan yang diadopsi sebelum 1960 sudah ada sebelum SI. Sistem CGS diperkenalkan tahun 1873.,^ Awalan yang diadopsi sebelum 1960 sudah ada sebelum SI. Sistem CGS diperkenalkan tahun 1873.,^ Awalan yang diadopsi sebelum 1960 sudah ada sebelum SI. Sistem CGS diperkenalkan tahun 1873.,^ Awalan yang diadopsi sebelum 1960 sudah ada sebelum SI. Sistem CGS diperkenalkan tahun 1873.,^ Awalan yang diadopsi sebelum 1960 sudah ada sebelum SI. Sistem CGS diperkenalkan tahun 1873.
