,0,1,2,3
0,Koloni mahkota (Pra-Federasi),Koloni mahkota (Pra-Federasi),Koloni mahkota (Pra-Federasi),Koloni mahkota (Pra-Federasi)
1,Tahun,Populasi,Tahun,Populasi
2,1788,859,1848,332328
3,1798,4588,1858,1050828
4,1808,10263,1868,1539552
5,1818,25859,1878,2092164
6,1828,58197,1888,2981677
7,1838,151868,1898,3664715
