,O r g a n i s m e,N a m a   i l m i a h,J u m l a h   d i p l o i d   k r o m o s o m   ( 2 n   =   x ),C a t a t a n
116,Tibetan sand fox,Vulpes ferrilata,36,
117,Yellow Mongoose,Cynictis penicillata,36,
118,Porcupine,Erethizon dorsatum,34 [16],
119,Red Fox,Vulpes vulpes,34[10],Plus 3-5 microsomes.
120,Alfalfa,Medicago sativa,32[21],"Cultivated alfalfa is tetraploid, with 2n=4x=32. Wild relatives have 2n=16.[21]"
121,American Badger,Taxidea taxus,32,
122,European honey bee,Apis mellifera,32,"32 untuk betina, jantan adalah haploid maka hanya punya 16."
123,Ragi,Saccharomyces cerivisiae,32,
124,American Mink,Neovison vison,30,
125,Pill millipede,Arthrosphaera magna attems,30,[31]
126,Bittersweet nightshade,Solanum dulcamara,24[32][33],
127,Husk Tomato,Physalis pubescens,24[34],
128,Silverleaf nightshade,Solanum elaeagnifolium,24[35],
129,Padi,Oryza sativa,24[21],
130,Siput,,24,
131,Kacang-kacangan,Phaseolus sp.,22[21],"Semua spesies dalam genus ini mempunyai jumlah kromosom yanbg sama, termasuk P. vulgaris, P. coccineus, P. acutifolis, dan P. lunatus.[21]"
132,Virginia Opossum,Didelphis virginiana,22[36],
133,Cannabis,Cannabis sativa,20,
134,Jagung,Zea mays,20[21],
135,Kubis,Brassica oleracea,18[21],"Broccoli, kubis, kale, kohlrabi, brussels sprouts, dan cauliflower semuanya adalah spesies yang sama dan mempunyai jumlah kromosom yang sama.[21]"
136,Lobak,Raphanus sativus,18[21],
137,Kanguru,,16,"Ini termasuk beberapa anggota genus Macropus, tetapi tidak termasuk kanguru merah (M. rufus, 40)[37]"
138,Koala,Phascolarctos cinereus,16,
139,Barley,Hordeum vulgare,14[21],
140,Ercis,Pisum sativum,14[21],
141,Rye,Secale cereale,14[21],
142,Setan Tasmania,Sarcophilus harrisii,14,
143,Jamur lendir,Dictyostelium discoideum,12 [38],
144,Swamp Wallaby,Wallabia bicolor,10/11,"11 untuk jantan, 10 untuk betina[39]"
145,Nematoda,Caenorhabditis elegans,12/11,"12 untuk hermafrodit, 11 untuk jantan"
146,Thale Cress,Arabidopsis thaliana,10,
147,Lalat buah,Drosophila melanogaster,8[40],"6 autosomal, dan 2 seksual"
148,Hawkweed,,8,
149,Muntjac India,Muntiacus muntjak,6/7[41],female/male
150,Nyamuk,Aedes aegypti,6[42],"The 2n=6 chromosome number is conserved in the entire family Culicidae, except in Chagasia bathana which has 2n=8.[42]"
151,Spider mite,,4–14[43],"Spider mites (family Tetranychidae) are typically haplodiploidy (males are haploid, while females are diploid)[43]"
152,Jack jumper ant,Myrmecia pilosula,2[44],"2 for females, males are haploid and thus have 1; smallest number possible. Other ant species have more chromosomes.[44]"
