,K a n j i,A r t i,G o - o n,K a n - o n,T ō - o n,K a n ' y ō - o n
0,明,terang,myō (明星 myōjō),mei (明暗 meian),(min)* (明国 minkoku),—
1,行,pergi,gyō (行列 gyōretsu),kō (行動 kōdō),(an)* (行灯 andon),—
2,京,ibu kota,kyō (京都 Kyōto),kei (京阪 Keihan),kin (南京 Nankin),—
3,青,"biru, hijau",shō (緑青 rokushō),sei (青春 seishun),chin (青島 Chintao),-
4,清,murni,shō (清浄 shōjō),sei (清潔 seiketsu),(shin)* (清国 Shinkoku),—
5,輸,mengirim,(shu)*,(shu)*,—,yu (運輸 un-yu)[3]
6,眠,tidur,(men)*,(ben)*,—,min (睡眠 suimin) [4]
