,J u m l a h   p e n d u d u k   ( x   1 0 0 0   j i w a ) [ 6 ],J u m l a h   K e l a h i r a n,J u m l a h   K e m a t i a n,P e r b e d a a n,A n g k a   k e l a h i r a n   k o t o r   ( p e r   1 0 0 0 ),A n g k a   k e m a t i a n   k o t o r   ( p e r   1 0 0 0 ),P e r u b a h a n   ( p e r   1 0 0 0 ),T F R
0,,732 998,588 331,144 667,15.9,12.7,3.2,
1,,781 421,574 628,206 793,16.6,12.2,4.4,2.01
2,,806 074,515 092,290 982,16.7,10.6,6.0,2.07
3,,832 803,517 194,315 609,16.9,10.5,6.4,2.14
4,50 958,812 835,528 747,284 088,16.3,10.6,5.7,2.1
5,51 435,795 608,543 897,251 711,15.7,10.8,4.9,2.06
6,51 864,799 080,545 963,253 117,15.7,10.7,5.0,2.08
7,52 454,796 096,578 027,218 069,15.5,11.3,4.2,2.07
8,52 943,816 028,555 459,260 569,15.7,10.7,5.0,2.12
9,53 518,820 128,581 872,238 256,15.7,11.1,4.6,2.11
10,53 340,855 887,599 413,256 474,16.1,11.3,4.8,2.19
11,54 064,892 228,615 016,277 212,16.6,11.5,5.2,2.28
12,54 719,904 465,597 305,307 160,16.7,11.0,5.7,2.29
13,55 257,951 942,605 504,346 438,17.3,11.0,6.3,2.34
14,55 958,968 629,642 962,325 667,17.4,11.6,5.9,2.37
15,56 589,1 012 687,627 561,385 126,18.0,11.2,6.9,2.47
16,57 247,1 018 552,644 819,373 733,17.9,11.3,6.6,2.45
17,57 865,1 054 123,673 069,381 054,18.4,11.7,6.7,2.52
18,58 587,1 065 437,644 128,421 309,18.3,11.1,7.2,2.55
19,59 297,1 044 328,677 628,366 700,17.8,11.6,6.3,2.51
20,59 793,1 050 345,686 321,364 024,17.8,11.6,6.2,2.54
21,59 948,1 019 459,687 349,332 110,17.2,11.6,5.6,2.54
22,60 463,969 825,734 048,235 777,16.3,12.3,4.0,2.39
23,61 195,903 456,744 360,159 096,15.0,12.4,2.6,2.2
24,61 001,810 808,734 843,75 965,13.4,12.1,1.3,1.99
25,61 503,778 526,730 670,47 856,12.7,11.9,0.8,1.92
26,61 809,701 214,731 264,-30 050,11.3,11.8,-0.5,1.72
27,62 101,635 663,731 028,-95 395,10.3,11.8,-1.5,1.54
28,61 991,626 373,727 511,-101 138,10.1,11.7,-1.6,1.51
29,61 645,600 512,749 260,-148 748,9.7,12.1,-2.4,1.45
30,61 442,602 851,733 140,-130 289,9.8,11.9,-2.1,1.46
31,61 353,582 344,704 922,-122 578,9.5,11.5,-2.0,1.4
32,61 322,576 468,723 218,-146 750,9.4,11.8,-2.4,1.38
33,61 439,581 984,711 732,-129 748,9.5,11.6,-2.1,1.39
34,61 658,620 657,714 117,-93 460,10.1,11.6,-1.5,1.44
35,61 713,624 557,722 192,-97 635,10.1,11.7,-1.6,1.43
36,61 546,621 173,715 857,-94 684,10.1,11.6,-1.5,1.41
37,61 307,594 177,718 337,-124 160,9.7,11.7,-2.0,1.33
38,61 049,584 157,696 118,-111 961,9.5,11.4,-1.9,1.29
39,61 020,586 155,704 296,-118 141,9.6,11.6,-2.0,1.28
40,61 140,625 963,701 890,-118 141,10.3,11.5,-1.2,1.34
41,61 238,642 010,687 419,-45 409,10.5,11.3,-0.8,1.37
42,61 715,677 259,687 516,-10 257,11.0,11.2,-0.2,1.41
43,62 679,681 537,697 730,-16 193,11.0,11.2,-0.2,1.39
44,63 726,727 199,713 335,13 864,11.5,11.3,0.2,1.45
