,#,N a m a ( L a h i r – M e n i n g g a l ),M a s a   j a b a t a n,M a s a   j a b a t a n . 1,P a r t a i   P o l i t i k
0,1,Takeji Kobayashi (小林武治)(1899-1988),23 April 1947,22 April 1951,Independen
1,2,Toshio Saito (斎藤寿夫)(1908-1999),1 Mei 1951,8 Januari 1967,Partai Liberal (1951-1959)Partai Demokrat Liberal (1959-1967)
2,3,Yutaro Takeyama (竹山祐太郎)(1901-1982),31 Januari 1967,24 Juni 1974,PDL
3,4,Keizaburo Yamamoto (山本敬三郎)(1913-2006),10 Juni 1974,6 Juli 1986,PDL
4,5,Shigeyoshi Saito (斉藤滋与史)(1918-2018),7 Juli 1986,23 Juni 1993,PDL
5,6,Yoshinobu Ishikawa (石川嘉延)(lahir pada tahun 1940),3 Agustus 1993,17 Juni 2009,Independen
6,7,Heita Kawakatsu (川勝平太)(lahir pada tahun 1948),7 Juli 2009,Petahana,Independen
