,B a h a s a   I n d o n e s i a,B a h a s a   B a n j a r   K u a l a,B a h a s a   B a n j a r   H u l u,B a h a s a   M a a n y a n
0,Masih,Masih,Pagun/Magun,Pagun
1,Senang,Himung,Aray,Aray
2,Punya-ku,Ampun-ku,Bat-ku,Wat-ku
3,Tanah yang meninggi,Munggu,Mungkur,Wungkur
