,P o s i s i,N a m a,F a k s i
0,Presiden,Yoshihide Suga,Hosoda (Seiwa Seisaku Kenkyū-kai)
1,Deputi Pemimpin,Masahiko Kōmura,Asō (Shikō-kai)
2,Sekretaris Jenderal,Toshihiro Nikai,Nikai (Shisui-kai)
3,Wakil Sekretaris Jenderal,Kōichi Hagiuda,Hosoda
4,Deputi Sekretaris Jenderal,Motoo Hayashi,Asō
5,Deputi Sekretaris Jenderal,Katsutoshi Kaneda,Takeshita (Heisei Kenkyū-kai)
6,Deputi Sekretaris Jenderal,Naoki Okada,Hosoda
7,Ketua Dewan Penelitian Urusan Kebijakan,Fumio Kishida,Kishida (Kōchi-kai)
8,Ketua Komite Urusan Keuangan,Yūji Yamamoto,Ishiba (Suigetsu-kai)
9,Ketua Komite Kampanye Pemilihan Umum,Ryū Shionoya,Hosoda
10,Manajer Umum Organisasi Partai,Taimei Yamaguchi,Takeshita
11,Manajer Umum Hubungan Masyarakat,Takuya Hirai,Kishida
12,Ketua Komite Urusan Diet,Hiroshi Moriyama,Ishihara (Kinmirai Seiji Kenkyū-kai)
13,Ketua Penegak Partai,Akiko Santō,Asō
14,Ketua Dewan Perwakilan Umum,Hajime Funada,Takeshita
15,Ketua Dewan Urusan Umum,Wataru Takeshita,Takeshita
16,Ketua Dewan Umum Majelis Gabungan,Hidehisa Otsuji,Takeshita
17,Ketua Dewan Umum Majelis,Seiko Hashimoto,Hosoda
18,Sekretaris Jenderal Umum Majelis,Hiromi Yoshida,Takeshita
19,Ketua Dewan Urusan Kebijakan Majelis,Keizō Takemi,Asō
20,Ketua Komite Urusan Diet Majelis,Masakazu Sekiguchi,Takeshita
21,Direktur Sekolah Lulusan Politik Pusat,Takeshi Iwaya,Asō
