,A g a m a,P o p u l a s i
0,Kristen,66.588
1,Hindu,60.086
2,Muslim,7.006
3,Sikhisme,1.631
4,Buddha,1.055
5,Jainisme,189.0
6,Lainnya,6.451
7,Tidak tahu,223.0
