,L a b i a l,A l v e o l a r,P a l a t a l,V e l a r,G l o t a l
0,*p,*t,*c,*k,
1,*b,*d,*j,*ɡ,
2,,,*s,,*h
3,*m,*n,,*ŋ,
4,*w,,*y,,
5,,*l,,,
6,,*r,,,
