,P e r i n g k a t,N e g a r a,E m a s,P e r a k,P e r u n g g u,T o t a l
0,1,Amerika Serikat,38,27,19,84
1,2,Swedia,16,11,17,44
2,3,Prancis,10,6,13,29
3,4,Hongaria,10,5,12,27
4,5,Italia,8,11,8,27
5,6,Finlandia,8,7,5,20
6,7,Turki,6,4,2,12
7,8,Cekoslowakia,6,2,3,11
8,9,Swiss,5,10,5,20
9,10,Denmark,5,7,8,20
10,11,Belanda,5,2,9,16
11,12,Britania Raya*,3,14,6,23
12,13–37,Lainnya,18,29,31,78
13,Total (37 negara),Total (37 negara),138,135,138,411
