,0,1,2,3,4
0,a,i,u,e,o
1,ka,ki,ku,ke,ko
2,ga,gi,gu,ge,go
3,sa,si,su,se,so
4,za,zi,zu,ze,zo
5,ta,ti,tu,te,to
6,da,di,du,de,do
7,na,ni,nu,ne,no
8,ha,hi,hu,he,ho
9,ba,bi,bu,be,bo
10,ma,mi,mu,me,mo
11,ya,,yu,,yo
12,ra,ri,ru,re,ro
13,wa,wi,,we,
