,0,1
0,Utara,"Kabupaten Jombang, Kabupaten Pasuruan, Kabupaten Mojokerto, dan Kota Batu"
1,Timur,Kabupaten Lumajang dan Kabupaten Probolinggo
2,Selatan,Samudra Hindia
3,Barat,Kabupaten Blitar dan Kabupaten Kediri
