,P e r i n g k a t   t a h u n   2 0 1 2,K o t a,N e g a r a   b a g i a n [ 2 ],P e r k i r a a n   t a h u n   2 0 1 2,S e n s u s   t a h u n   2 0 1 2,P e r u b a h a n,L u a s   l a h a n   t a h u n   2 0 1 0,K e p a d a t a n   p e n d u d u k   t a h u n   2 0 1 0,A N S I,L e t a k
222,223,Abilene,Texas,,,"style=""text-align:right;""|117.063",118.887,"+1,56%",276.592 km2,423 km−2
223,224,Beaumont,Texas,,,"style=""text-align:right;""|118.296",118.228,"−0,06%",214.452 km2,552 km−2
224,225,Vallejo,California,,,"style=""text-align:right;""|115.942",117.796,"+1,60%",79.439 km2,"1,460 km−2"
225,226,Independence,Missouri,,,"style=""text-align:right;""|116.830",117.270,"+0,38%",200.897 km2,582 km−2
226,227,Springfield,Illinois,,,"style=""text-align:right;""|116.250",117.126,"+0,75%",154.051 km2,755 km−2
227,228,Ann Arbor,Michigan,,,"style=""text-align:right;""|113.934",116.121,"+1,92%",72.079 km2,"1,581 km−2"
228,229,Provo,Utah,,,"style=""text-align:right;""|112.488",115.919,"+3,05%",107.931 km2,"1,042 km−2"
229,230,Peoria,Illinois,,,"style=""text-align:right;""|115.007",115.687,"+0,59%",124.338 km2,925 km−2
230,231,Norman,Oklahoma,,,"style=""text-align:right;""|110.925",115.562,"+4,18%",462.995 km2,240 km−2
231,232,Berkeley,California,,,"style=""text-align:right;""|112.580",115.403,"+2,51%",27.118 km2,"4,152 km−2"
232,233,El Monte,California,,,"style=""text-align:right;""|113.475",115.111,"+1,44%",24.766 km2,"4,582 km−2"
233,234,Murfreesboro,Tennessee,,,"style=""text-align:right;""|108.755",114.038,"+4,86%",143.347 km2,759 km−2
234,235,Lansing,Michigan,,,"style=""text-align:right;""|114.297",113.996,"−0,26%",93.366 km2,"1,224 km−2"
235,236,Columbia,Missouri,,,"style=""text-align:right;""|108.500",113.225,"+4,35%",163.367 km2,664 km−2
236,237,Downey,California,,,"style=""text-align:right;""|111.772",112.873,"+0,99%",32.137 km2,"3,478 km−2"
237,238,Costa Mesa,California,,,"style=""text-align:right;""|109.960",111.918,"+1,78%",40.543 km2,"2,712 km−2"
238,239,Inglewood,California,,,"style=""text-align:right;""|109.673",111.182,"+1,38%",23.486 km2,"4,670 km−2"
239,240,Miami Gardens,Florida,,,"style=""text-align:right;""|107.167",110.754,"+3,35%",47.217 km2,"2,270 km−2"
240,241,Manchester,New Hampshire,,,"style=""text-align:right;""|109.565",110.209,"+0,59%",85.730 km2,"1,278 km−2"
241,242,Elgin,Illinois,,,"style=""text-align:right;""|108.188",109.927,"+1,61%",96.253 km2,"1,124 km−2"
242,243,Wilmington,North Carolina,,,"style=""text-align:right;""|106.476",109.922,"+3,24%",133.366 km2,798 km−2
243,244,Waterbury,Connecticut,,,"style=""text-align:right;""|110.366",109.915,"−0,41%",73.864 km2,"1,494 km−2"
244,245,Fargo,North Dakota,,,"style=""text-align:right;""|105.549",109.779,"+4,01%",126.446 km2,835 km−2
245,246,Arvada,Colorado,,,"style=""text-align:right;""|106.433",109.745,"+3,11%",91.018 km2,"1,169 km−2"
246,247,Carlsbad,California,,,"style=""text-align:right;""|105.328",109.318,"+3,79%",97.699 km2,"1,078 km−2"
247,248,Westminster,Colorado,,,"style=""text-align:right;""|106.114",109.169,"+2,88%",81.715 km2,"1,299 km−2"
248,249,Rochester,Minnesota,,,"style=""text-align:right;""|106.769",108.992,"+2,08%",141.377 km2,755 km−2
249,250,Gresham,Oregon,,,"style=""text-align:right;""|105.594",108.956,"+3,18%",60.090 km2,"1,757 km−2"
250,251,Clearwater,Florida,,,"style=""text-align:right;""|107.685",108.732,"+0,97%",66.204 km2,"1,627 km−2"
251,252,Lowell,Massachusetts,,,"style=""text-align:right;""|106.519",108.522,"+1,88%",35.180 km2,"3,028 km−2"
252,253,West Jordan,Utah,,,"style=""text-align:right;""|103.712",108.383,"+4,50%",84.063 km2,"1,234 km−2"
253,254,Pueblo,Colorado,,,"style=""text-align:right;""|106.595",107.772,"+1,10%",138.930 km2,767 km−2
254,255,San Buenaventura (Ventura),California,,,"style=""text-align:right;""|106.433",107.734,"+1,22%",56.085 km2,"1,898 km−2"
255,256,Fairfield,California,,,"style=""text-align:right;""|105.321",107.684,"+2,24%",96.839 km2,"1,088 km−2"
256,257,West Covina,California,,,"style=""text-align:right;""|106.098",107.440,"+1,26%",41.545 km2,"2,554 km−2"
257,258,Billings,Montana,,,"style=""text-align:right;""|104.170",106.954,"+2,67%",112.440 km2,926 km−2
258,259,Murrieta,California,,,"style=""text-align:right;""|103.466",106.810,"+3,23%",86.964 km2,"1,190 km−2"
259,260,High Point,North Carolina,,,"style=""text-align:right;""|104.371",106.586,"+2,12%",139.348 km2,749 km−2
260,261,Round Rock,Texas,,,"style=""text-align:right;""|99.887",106.573,"+6,69%",88.352 km2,"1,131 km−2"
261,262,Richmond,California,,,"style=""text-align:right;""|103.701",106.516,"+2,71%",77.875 km2,"1,332 km−2"
262,263,Cambridge,Massachusetts,,,"style=""text-align:right;""|105.162",106.471,"+1,24%",16.538 km2,"6,359 km−2"
263,264,Norwalk,California,,,"style=""text-align:right;""|105.549",106.278,"+0,69%",25.141 km2,"4,198 km−2"
264,265,Odessa,Texas,,,"style=""text-align:right;""|99.940",106.102,"+6,17%",108.662 km2,920 km−2
265,266,Antioch,California,,,"style=""text-align:right;""|102.372",105.508,"+3,06%",73.422 km2,"1,394 km−2"
266,267,Temecula,California,,,"style=""text-align:right;""|100.097",105.208,"+5,11%",78.092 km2,"1,282 km−2"
267,268,Green Bay,Wisconsin,,,"style=""text-align:right;""|104.057",104.868,"+0,78%",117.758 km2,884 km−2
268,269,Everett,Washington,,,"style=""text-align:right;""|103.019",104.655,"+1,59%",86.628 km2,"1,189 km−2"
269,270,Wichita Falls,Texas,,,"style=""text-align:right;""|104.553",104.552,,186.841 km2,560 km−2
270,271,Burbank,California,,,"style=""text-align:right;""|103.340",104.391,"+1,02%",44.913 km2,"2,301 km−2"
271,272,Palm Bay,Florida,,,"style=""text-align:right;""|103.190",104.124,"+0,91%",170.168 km2,606 km−2
272,273,Centennial,Colorado,,,"style=""text-align:right;""|100.377",103.743,"+3,35%",74.390 km2,"1,349 km−2"
273,274,Daly City,California,,,"style=""text-align:right;""|101.123",103.690,"+2,54%",19.849 km2,"5,095 km−2"
274,275,Richardson,Texas,,,"style=""text-align:right;""|99.223",103.297,"+4,11%",73.980 km2,"1,341 km−2"
275,276,Pompano Beach,Florida,,,"style=""text-align:right;""|99.845",102.984,"+3,14%",62.165 km2,"1,606 km−2"
276,277,Broken Arrow,Oklahoma,,,"style=""text-align:right;""|98.850",102.019,"+3,21%",159.469 km2,620 km−2
277,278,North Charleston,South Carolina,,,"style=""text-align:right;""|97.471",101.989,"+4,64%",,
278,279,West Palm Beach,Florida,,,"style=""text-align:right;""|99.919",101.903,"+1,99%",143.208 km2,698 km−2
279,280,Boulder,Colorado,,,"style=""text-align:right;""|97.385",101.808,"+4,54%",,
280,281,Rialto,California,,,"style=""text-align:right;""|99.171",101.740,"+2,59%",57.889 km2,"1,713 km−2"
281,282,Santa Maria,California,,,"style=""text-align:right;""|99.553",101.459,"+1,91%",58.937 km2,"1,689 km−2"
282,283,El Cajon,California,,,"style=""text-align:right;""|99.478",101.435,"+1,97%",37.381 km2,"2,661 km−2"
283,284,Davenport,Iowa,,,"style=""text-align:right;""|99.685",101.363,"+1,68%",163.033 km2,611 km−2
284,285-(T),Erie,Pennsylvania,,,"style=""text-align:right;""|101.786",101.047,"−0,73%",49.419 km2,"2,060 km−2"
285,285-(T),Las Cruces,New Mexico,,,"style=""text-align:right;""|97.618",101.047,"+3,51%",197.59 km2,494 km−2
286,287,South Bend,Indiana,,,"style=""text-align:right;""|101.168",100.800,"−0,36%",107.375 km2,942 km−2
287,288,Flint,Michigan,,,"style=""text-align:right;""|102.434",100.515,"−1,87%",86.547 km2,"1,184 km−2"
288,289,Kenosha,Wisconsin,,,"style=""text-align:right;""|99.218",100.150,"+0,94%",,
