,P e r i n g k a t   t a h u n   2 0 1 2,K o t a,N e g a r a   b a g i a n [ 2 ],P e r k i r a a n   t a h u n   2 0 1 2,S e n s u s   t a h u n   2 0 1 2,P e r u b a h a n,L u a s   l a h a n   t a h u n   2 0 1 0,K e p a d a t a n   p e n d u d u k   t a h u n   2 0 1 0,A N S I,L e t a k
43,44,Miami,Florida,,,"style=""text-align:right;""|399.457",413.892,"+3,61%",92.906 km2,"4,300 km−2"
44,45,Oakland,California,,,"style=""text-align:right;""|390.724",400.740,"+2,56%",144.485 km2,"2,704 km−2"
45,46,Tulsa,Oklahoma,,,"style=""text-align:right;""|391.906",393.987,"+0,53%",509.590 km2,769 km−2
46,47,Minneapolis,Minnesota,,,"style=""text-align:right;""|382.578",392.880,"+2,69%",139.789 km2,"2,737 km−2"
47,48,Cleveland,Ohio,,,"style=""text-align:right;""|396.815",390.928,"−1,48%",201.234 km2,"1,972 km−2"
48,49,Wichita,Kansas,,,"style=""text-align:right;""|382.368",385.577,"+0,84%",412.571 km2,927 km−2
49,50,Arlington,Texas,,,"style=""text-align:right;""|365.438",375.600,"+2,78%",248.332 km2,"1,472 km−2"
50,51,New Orleans[14],Louisiana,,,"style=""text-align:right;""|343.829",369.250,"+7,39%",438.803 km2,784 km−2
51,52,Bakersfield,California,,,"style=""text-align:right;""|347.483",358.597,"+3,20%",368.204 km2,944 km−2
52,53,Tampa,Florida,,,"style=""text-align:right;""|335.709",347.645,"+3,56%",293.728 km2,"1,143 km−2"
53,54,Honolulu,Hawai'i,,,"style=""text-align:right;""|337.256",345.610,"+2,48%",156.748 km2,"2,152 km−2"
54,55,Anaheim,California,,,"style=""text-align:right;""|336.265",343.248,"+2,08%",129.073 km2,"2,605 km−2"
55,56,Aurora,Colorado,,,"style=""text-align:right;""|325.078",339.030,"+4,29%",369.100 km2,881 km−2
56,57,Santa Ana,California,,,"style=""text-align:right;""|324.528",330.920,"+1,97%",70.628 km2,"4,595 km−2"
57,58,St. Louis[12],Missouri,,,"style=""text-align:right;""|319.294",318.172,"−0,35%",160.343 km2,"1,991 km−2"
58,59,Riverside,California,,,"style=""text-align:right;""|303.871",313.673,"+3,23%",210.152 km2,"1,446 km−2"
59,60,Corpus Christi,Texas,,,"style=""text-align:right;""|305.215",312.195,"+2,29%",415.982 km2,734 km−2
60,61,Pittsburgh,Pennsylvania,,,"style=""text-align:right;""|305.704",306.211,"+0,17%",143.400 km2,"2,132 km−2"
61,62,Lexington[15],Kentucky,,,"style=""text-align:right;""|295.803",310.573,"+4,99%",734.649 km2,403 km−2
62,63,Anchorage[16],Alaska,,,"style=""text-align:right;""|291.826",298.610,"+2,32%","4,415.109 km2",66 km−2
63,64,Stockton,California,,,"style=""text-align:right;""|291.707",297.984,"+2,15%",159.723 km2,"1,826 km−2"
64,65,Cincinnati,Ohio,,,"style=""text-align:right;""|296.943",296.550,"−0,13%",201.870 km2,"1,471 km−2"
65,66,Saint Paul,Minnesota,,,"style=""text-align:right;""|285.068",290.770,"+2,00%",134.624 km2,"2,118 km−2"
66,67,Toledo,Ohio,,,"style=""text-align:right;""|287.208",284.012,"−1,11%",208.991 km2,"1,374 km−2"
67,68,Newark,New Jersey,,,"style=""text-align:right;""|277.140",277.727,"+0,21%",62.644 km2,"4,424 km−2"
68,69,Greensboro,North Carolina,,,"style=""text-align:right;""|269.666",277.080,"+2,75%",327.673 km2,823 km−2
69,70,Plano,Texas,,,"style=""text-align:right;""|259.841",272.068,"+4,71%",185.395 km2,"1,402 km−2"
70,71,Henderson,Nevada,,,"style=""text-align:right;""|257.729",265.679,"+3,08%",279.024 km2,924 km−2
71,72,Lincoln,Nebraska,,,"style=""text-align:right;""|258.379",265.404,"+2,72%",230.804 km2,"1,119 km−2"
72,73,Buffalo,New York,,,"style=""text-align:right;""|261.310",259.384,"−0,74%",104.594 km2,"2,498 km−2"
73,74,Fort Wayne,Indiana,,,"style=""text-align:right;""|253.691",254.555,"+0,34%",286.500 km2,885 km−2
74,75,Jersey City,New Jersey,,,"style=""text-align:right;""|247.597",254.441,"+2,76%",38.316 km2,"6,462 km−2"
75,76,Chula Vista,California,,,"style=""text-align:right;""|243.916",252.422,"+3,49%",128.545 km2,"1,898 km−2"
76,77,Orlando,Florida,,,"style=""text-align:right;""|238.300",249.562,"+4,73%",265.203 km2,899 km−2
77,78,St. Petersburg,Florida,,,"style=""text-align:right;""|244.769",246.541,"+0,72%",159.910 km2,"1,531 km−2"
78,79,Norfolk[12],Virginia,,,"style=""text-align:right;""|242.803",245.782,"+1,23%",140.171 km2,"1,732 km−2"
79,80,Chandler,Arizona,,,"style=""text-align:right;""|236.123",245.628,"+4,03%",166.828 km2,"1,415 km−2"
80,81,Laredo,Texas,,,"style=""text-align:right;""|236.091",244.731,"+3,66%",230.271 km2,"1,025 km−2"
