,D a r i   R ø m e r,K e   R ø m e r
0,"[°C] = ([°Rø] − 7,5) × 40⁄21","[°Rø] = [°C] × 21⁄40 + 7,5"
1,"[°F] = ([°Rø] − 7,5) × 24⁄7 + 32","[°Rø] = ([°F] − 32) × 7⁄24 + 7,5"
2,"[K] = ([°Rø] − 7,5) × 40⁄21 + 273,15","[°Rø] = ([K] − 273,15) × 21⁄40 + 7,5"
3,"[°R] = ([°Rø] − 7,5) × 24⁄7 + 491,67","[°Rø] = ([°R] − 491,67) × 7⁄24 + 7,5"
4,"Untuk rumus interval suhu alih-alih suhu tertentu,1 °Rø = 40⁄21 °C = 24⁄7 °FPerbandingan di antara berbagai skala suhu","Untuk rumus interval suhu alih-alih suhu tertentu,1 °Rø = 40⁄21 °C = 24⁄7 °FPerbandingan di antara berbagai skala suhu"
