,B a h a s a,P e n u t u r   a s l i ( d a l a m   j u t a a n ) [ 1 0 3 ]
0,Mandarin,845
1,Spanyol,329[notes 4]
2,Inggris,328
3,Bahasa Arab,221
4,Hindi,182
5,Bengali,181
6,Portugis,178
7,Rusia,144
8,Jepang,122
9,Jerman,903
