,F r a t e r n a l,I d e n t i k
0,DNA beda,DNA sama
1,jenis kelamin bisa beda ataupun sama,jenis kelamin sama
2,wajah/muka beda,wajah/muka sama
3,golongan darah beda,golongan darah sama
