,N a m a   s o s i s,K e t e r a n g a n,A s a l,G a m b a r
0,Bratwurst,Dibuat dari daging babi cincang yang dibumbui,Nürnberg,
1,Weisswurst (sosis putih),"Dibuat dari campuran daging sapi muda, otak dan limpa",Bayern,
2,Bauernwurst (sosis petani),Dibuat dari daging sapi atau babi dengan bumbu dan rempah-rempah,Frankfurt,
3,Knackwurst,"Campuran daging sapi, babi yang dicacah dan bawang putih",Frankfurt,
4,Leberwurst (sosis hati),Dibuat dari hati yang dibumbui,Hesse,
5,Rinderwurst (sosis daging sapi),Dibuat dari daging sapi,Westfalen,
