,0,1,2
0,Richard III dari Inggris Wangsa YorkCabang kadet Wangsa PlantagenetLahir: 2 Oktober 1452 Meninggal: 22 Agustus 1485,Richard III dari Inggris Wangsa YorkCabang kadet Wangsa PlantagenetLahir: 2 Oktober 1452 Meninggal: 22 Agustus 1485,Richard III dari Inggris Wangsa YorkCabang kadet Wangsa PlantagenetLahir: 2 Oktober 1452 Meninggal: 22 Agustus 1485
1,Gelar kebangsawanan,Gelar kebangsawanan,Gelar kebangsawanan
2,Didahului oleh:Edward V,Raja InggrisPenguasa Irlandia1483–1485,Diteruskan oleh:Henry VII
3,Ciptaan baru,Adipati Gloucesterke-31461–1483,Bergabung dengan mahkota
