,K a t a   b a h a s a   B i n a n,K a t a   y a n g   d i m a k s u d,K e s a m a a n   b u n y i
0,Amplop,Ampun,amp
1,Mawar,Mau,ma(u)
2,Tinta,Tidak,ti
3,Mandala,Mandi,mand
4,Belalang,Beli,bel
5,Cumi,Cium,c-i-u-m (metatesis)
6,Ember,Emang,em
7,Gilingan,Gila,gil
8,Kencana,Kencing,kenc
9,Pertiwi,Perut,per
