,N a m a   G u b e r n u r,M u l a i   M e n j a b a t,A k h i r   M e n j a b a t
0,Shohei Okada (岡田正平),15 April 1947,29 April 1955
1,Kazuo Kitamura (北村一男),30 April 1955,30 November 1961
2,Toichiro Tsukada (塚田十一郎),7 Desember 1961,28 Maret 1966
3,Shiro Watari (亘四郎),8 Mei 1966,30 April 1974
4,Takeo Kimi (君健男),1 Mei 1974,19 April 1989
5,Kiyoshi Kaneko (金子清),4 Juni 1989,9 September 1992
6,Ikuo Hirayama (平山征夫),25 Oktober 1992,24 Oktober 2004
7,Hirohiko Izumida (泉田裕彦),25 Oktober 2004,24 Oktober 2016
8,Ryuichi Yoneyama (米山隆一),25 Oktober 2016,27 April 2018
9,Hideyo Hanazumi (花角英世),12 Juni 2018,Sekarang
