,F a m i l i,J e n i s   v e k t o r,R e f e r e n s i
0,Culicidae,Aedes aegypti,[14]
1,Muscidae,Stomoxys spp.,[15][16]
2,Tabanidae,Haematopota spp.,[15]
3,Ixodidae,Amblyomma spp.,[17]
4,Ixodidae,Rhipicephalus spp.,[17][18][19]
