,S p e s i e s,L o k a s i,K e d a l a m a n   p e r a k a r a n   m a k s i m u m   ( m ),R e f e r e n s i [ 1 0 ] [ 1 1 ]
0,Boscia albitrunca,Gurun Kalahari,68.0,Jennings (1974)
1,Juniperus monosperma,Dataran tinggi Colorado,61.0,Cannon (1960)
2,Eucalyptus sp.,Hutan Australia,61.0,Jennings (1971)
3,Acacia erioloba,Gurun Kalahari,60.0,Jennings (1974)
4,Prosopis juliflora,Gurun Arizona,53.3,Phillips (1963)
