,N i l a i   K o e f i s i e n,D i s t r i b u s i   P e n d a p a t a n
0,"< 0,4",Tingkat ketimpangan rendah
1,"0,4 - 0,5",Tingkat ketimpangan sedang
2,">0,5",Tingkat ketimpangan tinggi
