,A s a m   k a r b o k s i l a t [ 2 ],p K a
0,Asam format (HCOOH),3.75
1,Asam asetat (CH3COOH),4.76
2,Asam kloroasetat (CH2ClCO2H),2.86
3,Asam dikloroasetat (CHCl2CO2H),1.29
4,Asam trikloroasetat (CCl3CO2H),0.65
5,Asam trifluoroasetat (CF3CO2H),0.5
6,Asam oksalat (HO2CCO2H),1.27
7,Asam benzoat (C6H5CO2H),4.2
