,T a h u n,J u d u l,P e m e r a n,C a t a t a n,R e f .
0,2008,Liar,Pepi,,
1,2009,Ketika Cinta Bertasbih 2,Dokter Vivi,,
2,2010,Dalam Mihrab Cinta,Silvie,,
3,2011,Aku Ingin Kamu,,Sebagai penulis cerita dan sutradara,
4,2012,Jakarta Hati,,,
5,2013,Rectoverso,Senja,,
6,2013,Isyarat,,Sebagai sutradara dalam segmen Teman Bayangan,
