,0,1,2,3,4,5
0,,Bahasa Indonesia Baku,Bahasa Melayu Kupang,,Bahasa Indonesia Baku,Bahasa Melayu Kupang
1,k.ganti orang pertama tunggal,saya,beta,k.ganti orang pertama jamak,kami,ketong
2,k.ganti orang kedua tunggal,Anda,lu,k.ganti orang kedua jamak,kalian,basong
3,k.ganti orang ketiga tunggal,dia,dia,k.ganti orang ketiga jamak,mereka,dorang
