,L a b i a l,L a b i a l . 1,D e n t a l,D e n t a l . 1,A l v e o l a r,A l v e o l a r . 1,A l v .   b e l a k a n g,A l v .   b e l a k a n g . 1,P a l a t a l,P a l a t a l . 1,V e l a r,V e l a r . 1,G l o t a l,G l o t a l . 1
0,,m,,,,n,,,,,,ŋ,,
1,p,b,,,t,d,,,,,k,ɡ,,
2,,,,,,,tʃ,dʒ,,,,,,
3,f,v,θ,ð,s,z,ʃ,ʒ,,,,,h,
4,,,,,,l,,ɹ*,,j,,w,,
