,N o,T a n g g a l,H a r i,K e t e r a n g a n
0,1,1 Januari,Minggu,Tahun Baru Masehi
1,2,5 Maret,Minggu,Isra' Mi'raj Nabi Muhammad SAW (27 Rajab 1409H)
2,3,9 Maret,Kamis,Hari Raya Nyepi (Tahun Baru Saka 1911)
3,4,24 Maret,Jumat,Wafat Yesus Kristus
4,5,4 Mei,Kamis,Kenaikan Yesus Kristus
5,6,7-8 Mei,Minggu-Senin,Idul Fitri (1-2 Syawal 1409H)
6,7,21 Mei,Minggu,Hari Raya Waisak 2533
7,8,13 Juli,Kamis,Idul Adha (10 Dzulhijjah 1409H)
8,9,3 Agustus,Kamis,Tahun Baru Islam (1 Muharram 1410H)
9,10,17 Agustus,Kamis,Hari Ulang Tahun Proklamasi Kemerdekaan Republik Indonesia ke-44
10,11,12 Oktober,Kamis,Maulid Nabi Muhammad SAW (12 Rabiul Awal 1410H)
11,12,25 Desember,Senin,Hari Raya Natal
