,A g a m a,P o p u l a s i
0,Kristen,2.213.027
1,Hindu,342.078
2,Muslim,130.399
3,Buddha,9.864
4,Sikhisme,3.045
5,Jainisme,627
6,Lainnya,258.271
7,Tidak tahu,9.578
