,0,1,2,3,4,5,6,7
0,Spektrum elektromagnetik,Spektrum elektromagnetik,Spektrum elektromagnetik,Spektrum elektromagnetik,Spektrum elektromagnetik,Spektrum elektromagnetik,Spektrum elektromagnetik,Spektrum elektromagnetik
1,Nama,Panjang gelombang,Hertz (Hz),Energi foton (eV),,,,
2,Sinar gamma,"kurang dari 0,02 nm",lebih dari 15 EHz,"lebih dari 62,1 keV",,,,
3,Sinar-X,"0,01 nm – 10 nm",30 EHz – 30 PHz,124 keV – 124 eV,,,,
4,Ultraungu,10 nm – 400 nm,30 PHz – 750 THz,124 eV – 3 eV,,,,
5,sinar tampak,390 nm – 750 nm,770 THz – 400 THz,"3,2 eV – 1,7 eV",,,,
6,Inframerah,750 nm – 1 mm,400 THz – 300 GHz,"1,7 eV – 1.24 meV",,,,
7,Gelombang mikro,1 mm – 1 meter,300 GHz – 300 MHz,"1,24 meV – 1,24 µeV",,,,
8,Gelombang radio,1 mm – 100.000 km,300 GHz – 3 Hz,"1,24 meV – 12,4 feV",,,,
