,N e g a r a   b a g i a n,1 7 8 8,1 7 9 2,1 7 9 6 1 8 0 0,1 8 0 4 1 8 0 8,1 8 1 2,1 8 1 6,1 8 2 0,1 8 2 4 1 8 2 8,1 8 3 2,1 8 3 6 1 8 4 0,1 8 4 4,1 8 4 8,1 8 5 2 1 8 5 6,1 8 6 0,1 8 6 4,1 8 6 8,1 8 7 2,1 8 7 6 1 8 8 0,1 8 8 4 1 8 8 8,1 8 9 2,1 8 9 6 1 9 0 0,1 9 0 4,1 9 0 8,1 9 1 2 1 9 1 6 1 9 2 0 1 9 2 4 1 9 2 8,1 9 3 2 1 9 3 6 1 9 4 0,1 9 4 4 1 9 4 8,1 9 5 2 1 9 5 6,1 9 6 0,1 9 6 4 1 9 6 8,1 9 7 2 1 9 7 6 1 9 8 0,1 9 8 4 1 9 8 8,1 9 9 2 1 9 9 6 2 0 0 0,2 0 0 4 2 0 0 8,2 0 1 2 2 0 1 6 2 0 2 0
0,Alabama,,,,,,,3.0,5.0,7.0,7.0,9.0,9.0,9.0,9.0,0.0,8.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,10,9,9,9,9,9
1,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3,3,3,3,3,3
2,Arizona,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,4.0,4.0,5,6,7,8,10,11
3,Arkansas,,,,,,,,,,3.0,3.0,3.0,4.0,4.0,0.0,5.0,6.0,6.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,6,6,6,6,6,6
4,California,,,,,,,,,,,,,4.0,4.0,5.0,5.0,6.0,6.0,8.0,9.0,9.0,10.0,10.0,13.0,22.0,25.0,32.0,32.0,40,45,47,54,55,55
5,Colorado,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6,7,8,8,9,9
6,Connecticut,14.0,18.0,18.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8,8,8,8,7,7
7,D.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
8,Delaware,6.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3
9,Florida,,,,,,,,,,,,3.0,3.0,3.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,10.0,10.0,14,17,21,25,27,29
10,Georgia,10.0,8.0,8.0,6.0,8.0,8.0,8.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,0.0,9.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,12.0,12.0,12,12,12,13,15,16
11,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4,4,4,4,4,4
12,Idaho,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4
13,Illinois,,,,,,,9.0,3.0,5.0,5.0,9.0,9.0,11.0,11.0,16.0,16.0,21.0,21.0,22.0,24.0,24.0,27.0,27.0,29.0,29.0,28.0,27.0,27.0,26,26,24,22,21,20
14,Indiana,,,,,,3.0,3.0,5.0,9.0,9.0,12.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,13,13,12,12,11,11
15,Iowa,,,,,,,,,,,,4.0,4.0,4.0,8.0,8.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,10.0,10.0,10.0,9,8,8,7,7,6
16,Kansas,,,,,,,,,,,,,,,3.0,3.0,5.0,5.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,7,7,7,6,6,6
17,Kentucky,,8.0,8.0,8.0,12.0,12.0,12.0,14.0,15.0,15.0,12.0,12.0,12.0,12.0,11.0,6.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,10.0,10.0,9,9,9,8,8,8
18,Louisiana,,,,,3.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,0.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10,10,10,9,9,8
19,Maine,,,,,,,3.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4,4,4,4,4,4
20,Maryland,16.0,20.0,20.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10,10,10,10,10,10
21,Massachusetts,20.0,32.0,32.0,19.0,22.0,22.0,15.0,15.0,14.0,14.0,12.0,12.0,13.0,13.0,12.0,12.0,13.0,13.0,14.0,15.0,15.0,16.0,16.0,18.0,17.0,16.0,16.0,16.0,14,14,13,12,12,11
22,Michigan,,,,,,,,,,3.0,5.0,5.0,6.0,6.0,8.0,8.0,11.0,11.0,13.0,14.0,14.0,14.0,14.0,15.0,19.0,19.0,20.0,20.0,21,21,20,18,17,16
23,Minnesota,,,,,,,,,,,,,,4.0,4.0,4.0,5.0,5.0,7.0,9.0,9.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,10,10,10,10,10,10
24,Mississippi,,,,,,,3.0,3.0,4.0,4.0,6.0,6.0,7.0,7.0,0.0,0.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,7,7,7,7,6,6
25,Missouri,,,,,,,3.0,3.0,4.0,4.0,7.0,7.0,9.0,9.0,11.0,11.0,15.0,15.0,16.0,17.0,17.0,18.0,18.0,18.0,15.0,15.0,13.0,13.0,12,12,11,11,11,10
26,Montana,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4,4,4,3,3,3
27,Nebraska,,,,,,,,,,,,,,,,3.0,3.0,3.0,5.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,5,5,5,5,5,5
28,Nevada,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,4,4,5,6
29,New Hampshire,10.0,12.0,12.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4
30,New Jersey,12.0,14.0,14.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,10.0,12.0,12.0,14.0,16.0,16.0,16.0,16.0,17,17,16,15,15,14
31,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,4.0,4.0,4,4,5,5,5,5
32,New York,16.0,24.0,24.0,19.0,29.0,29.0,29.0,36.0,42.0,42.0,36.0,36.0,35.0,35.0,33.0,33.0,35.0,35.0,36.0,36.0,36.0,39.0,39.0,45.0,47.0,47.0,45.0,45.0,43,41,36,33,31,29
33,North Carolina,,24.0,24.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,11.0,11.0,10.0,10.0,0.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,13,13,13,14,15,15
34,North Dakota,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4,3,3,3,3,3
35,Ohio,,,,3.0,8.0,8.0,8.0,16.0,21.0,21.0,23.0,23.0,23.0,23.0,21.0,21.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,24.0,26.0,25.0,25.0,25.0,26,25,23,21,20,18
36,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,11.0,10.0,8.0,8.0,8,8,8,8,7,7
37,Oregon,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6,6,7,7,7,7
38,Pennsylvania,20.0,30.0,30.0,20.0,25.0,25.0,25.0,28.0,30.0,30.0,26.0,26.0,27.0,27.0,26.0,26.0,29.0,29.0,30.0,32.0,32.0,34.0,34.0,38.0,36.0,35.0,32.0,32.0,29,27,25,23,21,20
39,Rhode Island,,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4
40,South Carolina,14.0,16.0,16.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,8.0,8.0,0.0,6.0,7.0,7.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8,8,8,8,8,9
41,South Dakota,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4,4,3,3,3,3
