,D i m u l a i,B e r a k h i r,J e n i s   U n s u r
0,5 Februari 1924,24 Januari 1925,Kayu
1,24 Januari 1936,10 Februari 1937,Api
2,10 Februari 1948,28 Januari 1949,Tanah
3,28 Januari 1960,14 Februari 1961,Logam
4,15 Februari 1972,2 Februari 1973,Air
5,2 Februari 1984,19 Februari 1985,Kayu
6,19 Februari 1996,6 Februari 1997,Api
7,7 Februari 2008,25 Januari 2009,Tanah
8,25 Januari 2020,11 Februari 2021,Logam
9,11 Februari 2032,30 Januari 2033,Air
